t,angle,setpoint,dq,tau_cmd,tau_load,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk,b0,b1,b2,b3,b4
19.47,0.7324763738585482,0.6981317007977318,-0.09625463154304117,0.43225179516507767,-1.0062591910757477,6.924732933669483,-6.252354621781491,4.99766334372369,-0.8905014995565261,-0.49391051546967013,0.6369745176148006,0.0017205333081225947,0.004426876711539073,0.0,4.5323380842526296e-06,4.5323380842526296e-06,4.5323380842526296e-06,0.40538380655219997,0.5946025964335473
19.57,0.7324884227038266,0.6981317007977318,-0.09668031511448714,0.7242080462538225,-0.5145705691565348,4.143814553026553,-3.6838133534058244,2.7808102039205975,-0.735778350797738,-0.3287781421911233,0.4462409392995391,0.0013361735728105082,0.004340255043868981,0.0,0.0005234466616781603,0.0003291748674339479,0.0023884962554126072,0.19709949150832426,0.7996593907071511
19.67,0.7338695259926563,0.6981317007977318,-0.10644695205239048,0.6904057188675244,0.0274878052956863,1.0370223013580784,-0.7720664133268547,0.2965176147172278,-0.5053282784940288,-0.04547159057972425,0.3391168435388867,0.0018932536547863615,0.004843301379704317,0.0,0.2,0.2,0.2,0.2,0.2
19.775000000000002,0.7366116448829474,0.6981317007977318,-0.07989812865965364,-0.7888623543126358,0.5927913604292643,-6.0438462993201085,2.4784078825655733,-2.3437329676574854,-0.21299179818512473,0.3762808022830612,-0.26826452504721887,0.00313883754987598,0.006129821834619869,0.0,0.8278420554929098,0.12527436238745623,0.034499774265079074,0.006191903927277476,0.006191903927277476
19.88,0.7399027797832436,0.6981317007977318,-0.04637562335307761,-1.749945816178375,1.0941746485874766,-12.402405166900522,5.324779161032904,-4.609012633276006,0.09516296868028751,0.635129302143246,-1.0027071308709583,0.004121744759800687,0.007418889908598884,0.0,0.2,0.2,0.2,0.2,0.2
19.98,0.7434060500686508,0.6981317007977318,-0.06948049989452512,-1.0414861891458849,1.4626628823944694,-12.736298921837665,7.41057356530251,-6.331416636732951,0.3832523297692877,0.7129397043849871,-0.9888215952204771,0.004869699407239253,0.008594943756009143,0.0,0.0009168905438324273,0.0003861844524124102,0.0005233982190804122,0.1273513633801496,0.8708221634045251
20.080000000000002,0.7473116440920111,0.6981317007977318,-0.08066455333775852,-1.077505949627929,1.6879754823011475,-14.251927828839458,8.869110662777562,-7.4962987114231625,0.6321610340203783,0.8986162114764951,-1.0376342810483927,0.00559445468419735,0.00985551801287559,0.0,0.2,0.2,0.2,0.2,0.2
20.185,0.7509315504849025,0.6981317007977318,-0.058900732734289064,-2.19812848030384,1.746546774749476,-17.09520928630586,9.420988731046469,-7.841972355320558,0.8170376089638034,0.9797757642847088,-1.4618157291642062,0.005815531313265085,0.010555179647043045,0.0,0.004788143951714043,0.004788143951714043,0.004788143951714043,0.8948026239840375,0.09083294416082038
20.285,0.7533932278523707,0.6981317007977318,-0.07176671833985773,-2.1100226078532147,1.627108850304443,-14.772155559932038,8.877755387963328,-7.306778676798753,0.9096246612580696,0.8030908483723267,-1.3750218914389774,0.005443399418742209,0.010458565933223467,0.0,0.2,0.2,0.2,0.2,0.2
20.385,0.7553420783632304,0.6981317007977318,-0.1091249505644001,-0.8066927597263731,1.3483981748576304,-10.314724641703162,7.718931622811386,-6.299993145130237,0.9246463630819101,0.6840181694946601,-0.8549046602043797,0.005041642244050246,0.010215277138129001,0.0,0.2,0.2,0.2,0.2,0.2
20.490000000000002,0.7562119003795842,0.6981317007977318,-0.1121337582014149,-0.6989194327228676,0.9143724882529057,-7.64770437578496,5.65963009079965,-4.514390709155912,0.8375523521589953,0.5333724491463783,-0.67762448737685,0.0042407285065330655,0.009388008586531634,0.0,0.2,0.2,0.2,0.2,0.2
20.595,0.755674738725687,0.6981317007977318,-0.10396833842219251,-1.0287653236530843,0.381750672443964,-4.695599227245419,2.912814683441282,-2.1515603932890652,0.6567195354080816,0.2796349417840604,-0.5831367949656081,0.0030832257885448867,0.008001038234994809,0.0,2.136577696274835e-05,2.136577696274835e-05,2.136577696274835e-05,0.43052975655164266,0.5694061461174692
20.695,0.7537452458540285,0.6981317007977318,-0.12808573069737156,0.24632102604484904,-0.16468954830739452,2.045992357506451,-0.16584487851384155,0.4463973591440168,0.4149489323385587,-0.13037171528023567,-0.0492486994678496,0.0017415717127147422,0.006253155234953497,0.0,0.0001783434142040335,4.583755318816182e-05,0.008299995631649187,0.22180554587789222,0.7696702775230664
20.795,0.7511456044951204,0.6981317007977318,-0.16392169245197907,1.3813130045555058,-0.6950088086108694,8.969518846032933,-3.1217741253269287,2.8750284560134367,0.1348092395559784,-0.42956680771132216,0.6866345864594439,0.000986457634056241,0.004801226776285563,0.0,0.2,0.2,0.2,0.2,0.2
20.900000000000002,0.7478176677949973,0.6981317007977318,-0.16411184264344864,1.5880158500777317,-1.1777718986421049,12.249870816535763,-5.82024822320394,5.075654069044457,-0.17554501603308617,-0.6067728127487124,0.999257824325267,0.0013155735250013848,0.0037898335596286276,0.0,0.2,0.2,0.2,0.2,0.2
21.005,0.7438949224665615,0.6981317007977318,-0.14079961396196075,0.746656594681389,-1.5335366900767555,13.094720869686885,-8.069710203196998,6.913849637722629,-0.48008572291575324,-0.7639127698621782,0.9711711035840133,0.0020666646284462926,0.003503079777164868,0.0,0.7543420304746139,0.19346447035945988,0.05218648142485945,3.508870533445746e-06,3.508870533445746e-06
21.105,0.7399092459626027,0.6981317007977318,-0.13725543855748784,1.4135725393052143,-1.7190026887752046,15.168795439794252,-9.495679118856975,8.013555271498706,-0.726076288087607,-0.9682209851517908,1.1036696083621425,0.0026668771069182045,0.0037798522331221967,0.0,2.825694467588658e-06,2.825694467588658e-06,0.0001498088844094017,0.32659929577156493,0.6732452439550904
21.205000000000002,0.736477479129752,0.6981317007977318,-0.15741507604195748,2.225258177873839,-1.7362007273003353,17.501141008295455,-9.913056778010239,8.19145908998239,-0.895948954627219,-1.0313302870575716,1.486719790688419,0.0028325334794439667,0.004220341825006124,0.0,0.2,0.2,0.2,0.2,0.2
21.31,0.7337700168755871,0.6981317007977318,-0.15542189914459303,2.321828955844986,-1.5715482575810835,16.204355849989895,-9.220617291382267,7.4732248941828185,-0.9792322333720639,-0.911870932271531,1.5167426981289576,0.0025735509877991922,0.004476488569705338,0.0,0.2,0.2,0.2,0.2,0.2
21.41,0.7321842546007387,0.6981317007977318,-0.1255572918078745,1.5327302732116712,-1.2567210210855837,11.218432671476359,-7.658218356942946,6.126980070779803,-0.9674641443002168,-0.6545131665982057,1.108940357289357,0.0020728461604050674,0.004523826609640683,0.0,0.2,0.2,0.2,0.2,0.2
21.51,0.7315364135511354,0.6981317007977318,-0.08865234585149204,0.20219119580685183,-0.8188771749559993,5.333196870761258,-5.367883521822269,4.227403048795481,-0.8645586855983984,-0.43090174483610444,0.4915883227752683,0.0015279710045654094,0.00440084655556368,0.0,0.2,0.2,0.2,0.2,0.2
21.615000000000002,0.732115229366071,0.6981317007977318,-0.09108609899277702,0.48561601690430867,-0.2737603138204011,2.0656844611216627,-2.5046993913675197,1.7809205342483383,-0.6638164133297214,-0.20654549242923237,0.291937487860749,0.0014436720912310084,0.004473666258508685,0.0,2.9531919828543868e-05,2.3188741340662475e-05,0.00018456556607859216,0.22898357812462242,0.7707791356481297
21.72,0.7340130139293752,0.6981317007977318,-0.09502553308501772,0.24483902881882974,0.3008759254889557,-1.6615706775488892,0.5994908582079341,-0.8288142267373761,-0.3940075821071367,0.07944633732494392,0.07031147512480596,0.0022958593804673845,0.005204510630726111,0.0,0.8067591062034298,0.16396732590209412,0.009757855964825368,0.009757855964825368,0.009757855964825368
21.82,0.7370665365047449,0.6981317007977318,-0.07660403149265713,-0.9957699250496251,0.8188771749559962,-7.813365626453271,3.673118047138221,-3.3265581672131033,-0.09591048100363289,0.4794914391196538,-0.42692093742940407,0.003567199366720744,0.006634413644951469,0.0,0.7725005594707032,0.15186136499215605,0.07532972528775247,0.00015417512469411692,0.00015417512469411692
21.92,0.7403366390317775,0.6981317007977318,-0.045699031340531555,-1.847845814292265,1.2567210210855813,-13.374147383004837,6.110942698169066,-5.243588112591298,0.1947136692485367,0.6812498600599768,-1.1121150559379387,0.004398094357205874,0.007830257004173629,0.0,0.2,0.2,0.2,0.2,0.2
22.025000000000002,0.7441094542341515,0.6981317007977318,-0.06779401085968088,-1.1985587270278266,1.5834473418155366,-13.7043643637591,8.008282191829752,-6.7927369715809425,0.4825213360351728,0.7613263228763638,-1.103138529278909,0.005110535271547422,0.009036080678336588,0.0,4.488516467492357e-06,4.488516467492357e-06,4.488516467492357e-06,0.3374733959582904,0.6625131384923071
22.13,0.7480463876714697,0.6981317007977318,-0.08699635605094719,-1.0679129315747944,1.739431672046563,-13.943883755392601,9.160102130386163,-7.702049531605831,0.7186905225728273,0.8801709691997355,-1.0393354063655742,0.005671754793011422,0.010133870173134782,0.0,0.2,0.2,0.2,0.2,0.2
22.23,0.7513217507191886,0.6981317007977318,-0.06250379710215305,-2.162928761472564,1.7136399185880913,-16.66842573111325,9.333169428427826,-7.734374988863965,0.8627816699155026,0.9582493219943259,-1.4472477766758598,0.005769867823039338,0.010652983364969714,0.0,0.0026794574573861425,0.0026794574573861425,0.0026794574573861425,0.8284026101729323,0.16355901745490922
22.330000000000002,0.753426659952644,0.6981317007977318,-0.0766959135416974,-1.9886316787791547,1.5201051502668326,-13.752260202979176,8.414246073453798,-6.886876042239642,0.9189359145435938,0.7476854252757471,-1.307865737312734,0.005246557683024139,0.010342422916668826,0.0,0.2,0.2,0.2,0.2,0.2
