t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,Fx,Fy,Fz,Mx,My,Mz,b0,b1,b2,b3,b4
17.42,0.7610846162296581,0.6981317007977318,0.6981317007977318,-0.5278324284495104,-7.632304268573691,-31.118392566968286,-0.11159018155630795,0.0,0.0,1.3013788676796774,0.010250855930743923,0.019716381489592278,0.0,0.0,0.0,4.0771949691654035,0.0,36.18554668759725,31.976300850357646,-25.587847685853934,3.8777226298349374,-0.8063987461408164,2.948671455575021,0.0,0.0,0.0,0.0,0.0
17.525000000000002,0.7246357542538505,0.6981317007977318,0.6981317007977318,-0.2623174573831012,6.973954078666417,28.434170484729265,0.9412190463881944,0.0,0.0,1.266406155906167,0.012471540464252525,0.014540855677196434,0.0,0.0,0.0,4.0771949691654035,0.0,49.48477562409184,-39.710932189363746,34.39605347849815,-0.08814022840272973,-5.280066219198475,1.1410426452159537,0.0,0.0,0.0,0.0,0.0
17.63,0.7478675462582166,0.6981317007977318,0.6981317007977318,0.3667237566204711,2.2143042282299907,9.028150059541,-0.651856380666786,0.0,0.0,1.2378257017522452,0.011928522885219521,0.01695130940205501,0.0,0.0,0.0,4.0771949691654035,0.0,-67.54983876292606,-0.9343935615525041,2.800344385418672,0.15235811960192577,4.193637139997195,-6.30418830653121,0.0,0.0,0.0,0.0,0.0
17.73,0.7623153722530019,0.6981317007977318,0.6981317007977318,-0.33183214501160274,-8.547432872866683,-34.84955030853103,-0.5199097158839144,0.0,0.0,1.1878671366367757,0.01107176758161787,0.01715800576973725,0.0,0.0,0.0,4.0771949691654035,0.0,8.51650941763107,36.82069601444002,-30.86177776567972,2.409232870457705,1.4677674076016094,1.9583143065347812,0.0,0.0,0.0,0.0,0.0
17.830000000000002,0.7265024285864532,0.6981317007977318,0.6981317007977318,-0.49237513615479145,2.904045792253261,11.840360894400956,0.9607487469837416,0.0,0.0,1.150776960375791,0.012460717179433803,0.012414138312398673,0.0,0.0,0.0,4.0771949691654035,0.0,76.37471423746955,-28.00344939592849,22.69404207138269,-0.3027126306510486,-6.124907146785089,4.718898399716905,0.0,0.0,0.0,0.0,0.0
17.935,0.7319996798170071,0.6981317007977318,0.6981317007977318,0.3244630077784456,6.209340242464592,25.31669079841292,-0.14613416304620552,0.0,0.0,1.1297427835229927,0.009917150872301723,0.011835463983184096,0.0,0.0,0.0,4.0771949691654035,0.0,-44.840716838763,-23.464785421714645,22.01579242816962,-1.5174577534213058,1.5189715561093138,-4.981314231994739,0.0,0.0,0.0,0.0,0.0
18.035,0.7602781855068612,0.6981317007977318,0.6981317007977318,-0.05899164885537911,-7.225666959818802,-29.460452977437892,-0.8610248832627068,0.0,0.0,1.0884270944958125,0.013309074783356354,0.01911434650575051,0.0,0.0,0.0,4.0771949691654035,0.0,-30.227754238487346,35.592875247863795,-30.41264966395171,1.3717291014602433,3.893255042501374,-0.834355518030403,0.0,0.0,0.0,0.0,0.0
18.135,0.7337568962166789,0.6981317007977318,0.6981317007977318,-0.6017409954783535,-1.894641773661427,-7.724823907942987,0.6677882042624752,0.0,0.0,1.0468148319732524,0.009540201090809289,0.006626387137406292,0.0,0.0,0.0,4.0771949691654035,0.0,77.4701272788399,-6.538206247065846,3.8653780337607717,0.33113473745651134,-5.001413166644043,6.126466864388598,0.0,0.0,0.0,0.0,0.0
18.240000000000002,0.7197748636945138,0.6981317007977318,0.6981317007977318,0.1431473758915379,8.205321806525033,33.45469678994704,0.38223316668842194,0.0,0.0,1.027901627374375,0.010494842574069522,0.013148994608222093,0.0,0.0,0.0,4.0771949691654035,0.0,-8.454019127068486,-38.07564466735315,33.902556388159546,-2.176287256765546,-1.6157726924915297,-2.4581491248034735,0.0,0.0,0.0,0.0,0.0
18.345,0.7532018458791357,0.6981317007977318,0.6981317007977318,0.14322775861207263,-4.46611864062306,-18.20923645324417,-0.9282793792113936,0.0,0.0,0.9948361952990724,0.01370634726845432,0.018678380375728745,0.0,0.0,0.0,4.0771949691654035,0.0,-53.42632091448776,26.148329580789618,-22.228571721750818,0.4689892759912099,4.869202955526758,-3.0110738091200155,0.0,0.0,0.0,0.0,0.0
18.445,0.7402260354541643,0.6981317007977318,0.6981317007977318,-0.5713889055623975,-5.220959740326549,-21.286870787474516,0.26991427277028546,0.0,0.0,0.9521501902348883,0.00746294624716218,0.004154690039622043,0.0,0.0,0.0,4.0771949691654035,0.0,60.40179793997737,11.680694898360091,-11.527995888270869,0.8907157867746371,-2.9779375687218077,5.669011016708521,0.0,0.0,0.0,0.0,0.0
18.545,0.7136429037145077,0.6981317007977318,0.6981317007977318,-0.11151768151125135,7.561209800394222,30.828526558971465,0.7661259898964419,0.0,0.0,0.9324203313164362,0.011866370872615946,0.014789346788464967,0.0,0.0,0.0,4.0771949691654035,0.0,30.448268839055014,-41.500094981999375,35.3787586814636,-2.0481730019478803,-4.184372653490359,0.7090430197369302,0.0,0.0,0.0,0.0,0.0
18.650000000000002,0.7413649444992357,0.6981317007977318,0.6981317007977318,0.29525019834351096,-0.21355960705680138,-0.870724155508931,-0.7510706642666719,0.0,0.0,0.909651411446569,0.012172938990296265,0.015545681733943122,0.0,0.0,0.0,4.0771949691654035,0.0,-63.42913413390404,8.483307462350952,-6.279527248566927,-0.547508782766769,4.5060725468864264,-4.626303640330467,0.0,0.0,0.0,0.0,0.0
18.755,0.7450981123755239,0.6981317007977318,0.6981317007977318,-0.4464263487654443,-7.157523907168978,-29.182620465990457,-0.15534934024276736,0.0,0.0,0.8669166713392688,0.008074428556123232,0.009340107412472619,0.0,0.0,0.0,4.0771949691654035,0.0,32.75206158687645,25.259907500069133,-22.77513458039516,1.2256511100251901,-0.5525888756015105,4.048382613083712,0.0,0.0,0.0,0.0,0.0
18.855,0.713307962708608,0.6981317007977318,0.6981317007977318,-0.31513152589739,5.181365048899641,21.12543551078307,0.8830673522112871,0.0,0.0,0.8435919836855752,0.011713372497315876,0.013555465653339985,0.0,0.0,0.0,4.0771949691654035,0.0,54.9910030161865,-34.93929687676688,28.479725986211797,-1.490352116062907,-5.260642167896508,3.1057950948481263,0.0,0.0,0.0,0.0,0.0
18.955000000000002,0.7278807178772817,0.6981317007977318,0.6981317007977318,0.3126326011485232,3.832544277674753,15.626030248039157,-0.3609330622550659,0.0,0.0,0.8288888527725746,0.009628114455861352,0.011707659260841056,0.0,0.0,0.0,4.0771949691654035,0.0,-52.40899446941841,-10.96919080996484,11.217956281664703,-1.3927080431320404,2.6588777299147033,-4.655914741689744,0.0,0.0,0.0,0.0,0.0
19.06,0.7473326582351897,0.6981317007977318,0.6981317007977318,-0.2252534845046453,-7.3503816049906785,-29.96893890131392,-0.5703976587205998,0.0,0.0,0.7917945962554401,0.01069464423847323,0.014903232287633213,0.0,0.0,0.0,4.0771949691654035,0.0,-4.364740328007244,32.18316381862889,-28.23007369374578,1.1867712074884453,2.1210294340922684,1.3279899697375743,0.0,0.0,0.0,0.0,0.0
19.16,0.7182387601452372,0.6981317007977318,0.6981317007977318,-0.48280180490402097,1.1904589348653403,4.85373318023097,0.7719100523717051,0.0,0.0,0.7632841970702113,0.009719708177691105,0.008992920503871961,0.0,0.0,0.0,4.0771949691654035,0.0,68.0534458029191,-19.127042281161437,14.069423965807959,-0.5671117756089407,-5.113558767024685,4.9405649932756,0.0,0.0,0.0,0.0,0.0
19.26,0.7161969019940309,0.6981317007977318,0.6981317007977318,0.19990604645566074,6.447502914750942,26.287726447701814,0.10622793605287477,0.0,0.0,0.7520153103630867,0.008410140282888235,0.01066483054989349,0.0,0.0,0.0,4.0771949691654035,0.0,-25.253215600937587,-26.55156577845399,24.55358581212072,-1.8724528412471049,0.03051478885661707,-3.169808429383869,0.0,0.0,0.0,0.0,0.0
19.365000000000002,0.7439375272398941,0.6981317007977318,0.6981317007977318,0.005172993812978283,-5.392930278523687,-21.988028200656554,-0.77465670114225,0.0,0.0,0.7232408664513723,0.012185099567600829,0.016957538684664448,0.0,0.0,0.0,4.0771949691654035,0.0,-35.301745727603745,28.176269507591535,-24.193486024797394,0.7032174822414954,3.8355679569961985,-1.3934602605507873,0.0,0.0,0.0,0.0,0.0
19.47,0.7240306152485779,0.6981317007977318,0.6981317007977318,-0.5227214298740848,-2.1291363047790948,-8.680903830512742,0.5015047851425879,0.0,0.0,0.6902246401787459,0.007190346443543824,0.003792812107029178,0.0,0.0,0.0,4.0771949691654035,0.0,62.57361409898927,-2.9820337438480955,0.21439233284594295,0.18568744273239046,-3.8667377045117854,5.220580304787042,0.0,0.0,0.0,0.0,0.0
19.57,0.7095651945562728,0.6981317007977318,0.6981317007977318,0.03677982872337329,6.918183554980439,28.206783186129073,0.4404027513384146,0.0,0.0,0.678885685223998,0.008817737358438903,0.011424916249788149,0.0,0.0,0.0,4.0771949691654035,0.0,2.6836679893475086,-33.04309030780907,29.275201054397204,-1.8893719761497794,-2.0645036202041593,-1.1635799418879467,0.0,0.0,0.0,0.0,0.0
19.67,0.7357887712752037,0.6981317007977318,0.6981317007977318,0.17532401574749285,-2.0819865271540348,-8.48866499438258,-0.7291207336278915,0.0,0.0,0.6593990715585201,0.0115604269977108,0.015473396714321507,0.0,0.0,0.0,4.0771949691654035,0.0,-51.64318774157538,15.933843527618249,-12.817989557478327,-0.02590192574685779,4.160436365582372,-3.3172594521233125,0.0,0.0,0.0,0.0,0.0
19.775000000000002,0.7310134511505284,0.6981317007977318,0.6981317007977318,-0.4586089155488937,-5.040495291407325,-20.55108204422785,0.08652718211657834,0.0,0.0,0.6258220822786048,0.006037572932064633,0.005449400401255755,0.0,0.0,0.0,4.0771949691654035,0.0,41.499990595216296,14.056283066510156,-13.887020487963117,0.8207892656247604,-1.648533096285638,4.240908227354288,0.0,0.0,0.0,0.0,0.0
19.88,0.706879356969166,0.6981317007977318,0.6981317007977318,-0.14230109900716165,5.872831519982378,23.94467912802816,0.6479613307690504,0.0,0.0,0.6109732419853412,0.009216183116376283,0.01138473765070803,0.0,0.0,0.0,4.0771949691654035,0.0,28.027711378474553,-32.6517720916581,27.694775279698675,-1.589707019493563,-3.553881573645287,0.9644042834641156,0.0,0.0,0.0,0.0,0.0
19.98,0.7265935564646271,0.6981317007977318,0.6981317007977318,0.23461229466140202,0.9084011965820731,3.7037287886882613,-0.5222586297587382,0.0,0.0,0.5977773217846883,0.009696957690278203,0.01254026664469513,0.0,0.0,0.0,4.0771949691654035,0.0,-51.09446631884257,2.740495298141825,-0.7599434519392219,-0.6358675687178302,3.343871518388533,-3.912845640939702,0.0,0.0,0.0,0.0,0.0
20.080000000000002,0.7349826134671203,0.6981317007977318,0.6981317007977318,-0.30245083100508496,-6.121188879538469,-24.957280504965457,-0.303201021425893,0.0,0.0,0.5683436855043661,0.007903863374746245,0.011048758841846754,0.0,0.0,0.0,4.0771949691654035,0.0,11.865328658784957,24.089936705390272,-21.796896971445506,1.028808316355263,0.7089965268848841,2.2455047386062623,0.0,0.0,0.0,0.0,0.0
20.185,0.7085969584067455,0.6981317007977318,0.6981317007977318,-0.3239288746152226,3.230270821563178,13.170443942719183,0.6977974955800795,0.0,0.0,0.5489874160650207,0.008521176589543586,0.009101595198644069,0.0,0.0,0.0,4.0771949691654035,0.0,48.292880366900405,-24.42269598137279,19.326059122666,-0.9561992935701177,-4.253799119375719,3.034145998881563,0.0,0.0,0.0,0.0,0.0
20.285,0.7162328503734969,0.6981317007977318,0.6981317007977318,0.20687115955555246,3.8318087962257437,15.623031546775342,-0.1718416568415281,0.0,0.0,0.5404400159935181,0.00736832340259364,0.009470180632294871,0.0,0.0,0.0,4.0771949691654035,0.0,-36.604505928462515,-12.279868359039947,12.503590575942514,-1.203258808440803,1.5387352309220454,-3.4475633678436735,0.0,0.0,0.0,0.0,0.0
20.385,0.7345276073805973,0.6981317007977318,0.6981317007977318,-0.11289988600671244,-5.309362175738436,-21.647304752397833,-0.554271563458664,0.0,0.0,0.5163436591793572,0.009775581715695526,0.01415109512954799,0.0,0.0,0.0,4.0771949691654035,0.0,-16.494001191583283,25.182459293183197,-21.9709735115924,0.8206160102185492,2.509523993888215,-0.04213915930427925,0.0,0.0,0.0,0.0,0.0
20.490000000000002,0.7137121478625049,0.6981317007977318,0.6981317007977318,-0.4223339134822178,-0.03695293544176237,-0.15066432247904746,0.5370528335951728,0.0,0.0,0.4930409363351624,0.006413024747208835,0.004536755127371432,0.0,0.0,0.0,4.0771949691654035,0.0,52.759420882065534,-10.530032350960143,6.829306616607008,-0.21002064316321034,-3.6968242245946614,4.035967749373471,0.0,0.0,0.0,0.0,0.0
20.595,0.7092140614330205,0.6981317007977318,0.6981317007977318,0.10973280214912073,5.1115102677244355,20.840623948403373,0.1293478150341555,0.0,0.0,0.4853732197547752,0.006398846583751157,0.008555212057253545,0.0,0.0,0.0,4.0771949691654035,0.0,-16.508652209805195,-21.070073309343968,19.677230583352532,-1.4134192852977228,-0.22379517329520193,-2.2109392902701703,0.0,0.0,0.0,0.0,0.0
20.695,0.7303934014611827,0.6981317007977318,0.6981317007977318,0.024817983049232217,-3.489911503722844,-14.229049625811248,-0.6075225227164973,0.0,0.0,0.4670211727173086,0.01003042224662364,0.014274762301212402,0.0,0.0,0.0,4.0771949691654035,0.0,-32.80844832675551,19.774133410033766,-16.617173407488263,0.4200126308474823,3.2037853612651848,-1.6403184313877714,0.0,0.0,0.0,0.0,0.0
20.795,0.7197027651074748,0.6981317007977318,0.6981317007977318,-0.4183721000037919,-2.840828533271627,-11.58261180411661,0.24181286763230408,0.0,0.0,0.44318474719630707,0.00455189648218663,0.0025588267922878015,0.0,0.0,0.0,4.0771949691654035,0.0,42.06030468427186,4.070387746920559,-5.547831133358345,0.4111636476541277,-2.2178498180323176,3.801338715653137,0.0,0.0,0.0,0.0,0.0
20.900000000000002,0.7046470450808665,0.6981317007977318,0.6981317007977318,-0.04818102965321838,5.131007000912557,20.92011593087314,0.40740003931587493,0.0,0.0,0.43414456663187456,0.006559692391166664,0.008576884490615463,0.0,0.0,0.0,4.0771949691654035,0.0,9.200293068908781,-25.487344770840117,22.376812824836104,-1.3545760443962322,-2.0312077414428327,-0.28872853354278316,0.0,0.0,0.0,0.0,0.0
21.005,0.7242559557564225,0.6981317007977318,0.6981317007977318,0.1148232204436945,-1.2193469143687186,-4.971515104931497,-0.5296802201129902,0.0,0.0,0.4209833410267576,0.009119697479851958,0.012695692139388983,0.0,0.0,0.0,4.0771949691654035,0.0,-39.75228339664528,10.93182293843254,-8.324853462491077,-0.055664787930256976,3.108891884030003,-2.633086591664375,0.0,0.0,0.0,0.0,0.0
